Code	St	Btl	Year	Lat	Lon	Bottom_Depth	Pres	CTDDEPTH	Tinsitu	Tpot	Sal	O2	SiO4	NO3	PO4	DIC	Alk
2010920	9	20	2010	17.3525	-18.2538	3053	1098.1	1087.2	5.92	5.819373	34.95	105.8	24.41	32.670538	2.168148	2219.49	2297.85
2010919	9	19	2010	17.3525	-18.2538	3053	1196.8	1187.1	5.47	5.36351	34.96	129.1	24.9	29.890538	2.078148	-999	-999
2010918	9	18	2010	17.3525	-18.2538	3053	1248.5	1236.75	5.265	5.155341	34.975	139.3	24.46	29.835538	2.013148	2208.51	2306.69
2010917	9	17	2010	17.3525	-18.2538	3053	1348.8	1336.9	4.89	4.774348	34.98	154	24.51	28.350538	1.948148	-999	-999
2010916	9	16	2010	17.3525	-18.2538	3053	1398.3	1383.6	4.84	4.720113	34.99	157.4	24.12	28.110538	1.888148	2200.61	2300.62
2010915	9	15	2010	17.3525	-18.2538	3053	1498.7	1484.9	4.47	4.344577	34.99	173.5	24.51	26.550538	1.828148	-999	-999
2010914	9	14	2010	17.3525	-18.2538	3053	1548.4	1531.95	4.385	4.255849	34.99	176.5	24.26	26.505538	1.793148	2193.18	2301.02
2010913	9	13	2010	17.3525	-18.2538	3053	1698.533333	1680.633333	4.086667	3.946947	34.986667	188.6	24.703333	25.283871	1.728148	2187.62	2275.78
2010912	9	12	2010	17.3525	-18.2538	3053	1899.2	1877.1	3.76	3.605651	34.98	199.8	25.58	24.410538	1.648148	2182.58	2310.35
2010911	9	11	2010	17.3525	-18.2538	3053	2099.833333	2075.666667	3.5	3.330363	34.97	206.266667	27.89	23.950538	1.641481	2182.37	2314.69
2010910	9	10	2010	17.3525	-18.2538	3053	2300.75	2273.25	3.265	3.079791	34.96	210.55	30.265	23.740538	1.618148	2182.45	-999
2010909	9	9	2010	17.3525	-18.2538	3053	2501.333333	2470.1	3.093333	2.891515	34.95	211.6	32.77	23.707204	1.634815	2184.61	2350.91
2010908	9	8	2010	17.3525	-18.2538	3053	2702.9	2666.4	2.94	2.721026	34.94	212.2	34.95	23.670538	1.618148	2191.86	-999
2010907	9	7	2010	17.3525	-18.2538	3053	2903.6	2864.566667	2.783333	2.54722	34.93	209.166667	39.146667	23.927204	1.668148	2201.33	2337.66
2010906	9	6	2010	17.3525	-18.2538	3053	2969.1	2928.8	2.73	2.488296	34.93	207.5	40.8	24.080538	1.698148	-999	-999
2010905	9	5	2010	17.3525	-18.2538	3053	2999	2958	2.71	2.465645	34.93	209.7	40.71	24.010538	1.698148	-999	-999
2010904	9	4	2010	17.3525	-18.2538	3053	3024.5	2983	2.69	2.443446	34.93	202.9	43.34	24.230538	1.728148	-999	-999
2010903	9	3	2010	17.3525	-18.2538	3053	3039.1	2997.3	2.69	2.441935	34.93	200.6	44.12	24.280538	1.738148	-999	-999
2010902	9	2	2010	17.3525	-18.2538	3053	3053.8	3011.7	2.69	2.44041	34.93	200.8	43.73	24.290538	1.738148	-999	-999
2010901	9	1	2010	17.3525	-18.2538	3053	3067.433333	3024.433333	2.7	2.448773	34.93	201.2	43.243333	24.240538	1.721481	2213.86	2336.32
2011022	10	22	2010	17.3548	-20.8225	3357	101.65	101.15	14.765	14.749736	35.615	42.2	7.715	26.970538	1.688148	-999	-999
2011021	10	21	2010	17.3548	-20.8225	3357	121.9	121.4	14.26	14.242118	35.56	45.6	8.21	27.140538	1.678148	-999	-999
2011020	10	20	2010	17.3548	-20.8225	3357	141.55	140.8	14.115	14.094351	35.63	55.4	8.4	26.105538	1.633148	2212.62	2264.91
2011019	10	19	2010	17.3548	-20.8225	3357	186.25	185.3	12.885	12.859444	35.4	55.95	9.67	27.875538	1.768148	2212.05	2258.06
2011018	10	18	2010	17.3548	-20.8225	3357	235.95	234.65	12.705	12.672847	35.45	51.1	9.91	28.490538	1.773148	2212.43	2258.99
2011017	10	17	2010	17.3548	-20.8225	3357	290.1	288.4	12.08	12.041691	35.38	43.4	11.04	30.290538	1.878148	2226.45	-999
2011016	10	16	2010	17.3548	-20.8225	3357	419.7	417.15	10.785	10.733204	35.28	30.25	14.06	34.095538	2.103148	2237.99	2246.98
2011015	10	15	2010	17.3548	-20.8225	3357	499.1	495.9	9.94	9.88128	35.18	32.6	16.11	35.520538	2.228148	2239.95	-999
2011014	10	14	2010	17.3548	-20.8225	3357	663.85	659.3	8.27	8.199461	35.015	47.7	19.87	36.860538	2.368148	2239.32	2247.04
2011013	10	13	2010	17.3548	-20.8225	3357	798.25	792.4	7.15	7.071206	34.915	65.05	22.705	36.740538	2.403148	2234.9	2237.65
2011012	10	12	2010	17.3548	-20.8225	3357	965.7	956.4	6.34	6.249417	34.91	93.9	24.02	34.330538	2.298148	2224.82	2296.67
2011011	10	11	2010	17.3548	-20.8225	3357	1100.3	1089.5	5.88	5.779483	34.95	116.6	23.63	31.930538	2.148148	2215.29	2265.09
2011010	10	10	2010	17.3548	-20.8225	3357	1250.6	1237.9	5.46	5.348288	34.99	137.4	23.33	29.860538	2.008148	2206.04	2291.84
2011009	10	9	2010	17.3548	-20.8225	3357	1500.2	1484.2	4.63	4.502593	35.01	172.2	23.43	26.540538	1.808148	2191.67	2300.29
2011008	10	8	2010	17.3548	-20.8225	3357	1750.7	1731	4.06	3.915639	35	192.5	24.51	24.890538	1.698148	2185.07	2306.36
2011007	10	7	2010	17.3548	-20.8225	3357	2001.6	1977.9	3.66	3.497325	34.98	203.5	26.36	24.110538	1.638148	2186.03	-999
2011006	10	6	2010	17.3548	-20.8225	3357	2252.5	2224.5	3.37	3.187688	34.97	210.2	28.9	23.640538	1.618148	2187.44	2308.08
2011005	10	5	2010	17.3548	-20.8225	3357	2504.3	2471.7	3.09	2.88795	34.95	214.9	32.22	23.500538	1.618148	2186.18	2317.5
2011004	10	4	2010	17.3548	-20.8225	3357	2755	2717.5	2.92	2.696164	34.94	217.3	34.75	23.390538	1.608148	2188.91	-999
2011003	10	3	2010	17.3548	-20.8225	3357	3007.5	2964.8	2.75	2.503901	34.93	217.3	38.07	23.620538	1.618148	2193.76	-999
2011002	10	2	2010	17.3548	-20.8225	3357	3310.2	3260.7	2.57	2.296242	34.92	211.7	43.24	24.250538	1.668148	2218.01	2314.68
2011001	10	1	2010	17.3548	-20.8225	3357	3375.2	3324.3	2.5	2.22103	34.91	208.4	45.98	24.590538	1.688148	2208.05	2317.49
2011123	11	23	2010	17.3516	-22.7847	3361	112.2	111.7	17.07	17.051302	36.27	90.6	4.69	17.820538	1.108148	-999	-999
2011122	11	22	2010	17.3516	-22.7847	3361	137.05	136.3	16.195	16.172976	36.125	82.55	5.52	19.720538	1.213148	2199.72	2314.23
2011121	11	21	2010	17.3516	-22.7847	3361	151.6	150.8	15.87	15.845972	36.07	79.1	5.96	20.460538	1.258148	-999	-999
